GROUP_PATH;GROUP1;GROUP2;GROUP3;ACTION;N_PRODUCTS_THIS_IMPORT;N_PRODUCTS_TOTAL_NOW
Видеонаблюдение > Видеонаблюдение > Видео-звонки;Видеонаблюдение;Видеонаблюдение;Видео-звонки;CREATED;29;489
Видеонаблюдение > Видеонаблюдение > Звонки;Видеонаблюдение;Видеонаблюдение;Звонки;CREATED;76;489
Видеонаблюдение > Видеонаблюдение > Комплекты видеонаблюдение;Видеонаблюдение;Видеонаблюдение;Комплекты видеонаблюдение;CREATED;11;489
Видеонаблюдение > Видеонаблюдение > Питание;Видеонаблюдение;Видеонаблюдение;Питание;CREATED;164;489
Видеонаблюдение > Видеонаблюдение > Смарт-камеры;Видеонаблюдение;Видеонаблюдение;Смарт-камеры;CREATED;209;489
Дом и сад > Выключатели, розетки и контакторы > Металлические шкафы;Дом и сад;Выключатели, розетки и контакторы;Металлические шкафы;CREATED;3;3
Дом и сад > Освещение > Лампы на солнечной батарее;Дом и сад;Освещение;Лампы на солнечной батарее;CREATED;66;492
Дом и сад > Освещение > Ночники;Дом и сад;Освещение;Ночники;CREATED;55;492
Дом и сад > Освещение > Офисные и настольные лампы;Дом и сад;Освещение;Офисные и настольные лампы;CREATED;249;492
Дом и сад > Освещение > Праздничное освещение;Дом и сад;Освещение;Праздничное освещение;CREATED;122;492
Дом и сад > Сад и огород > Воздуходувки;Дом и сад;Сад и огород;Воздуходувки;CREATED;73;381
Дом и сад > Сад и огород > Мотобуры, мотокультиваторы и культиваторы;Дом и сад;Сад и огород;Мотобуры, мотокультиваторы и культиваторы;CREATED;56;381
Дом и сад > Сад и огород > Оборудование для полива;Дом и сад;Сад и огород;Оборудование для полива;CREATED;228;381
Дом и сад > Сад и огород > Сетки и заборы;Дом и сад;Сад и огород;Сетки и заборы;CREATED;24;381
Дом и сад > Садовая мебель;Дом и сад;Садовая мебель;;CREATED;106;106
Дом и сад > Столы,стулья,кресла > Компьютерные столы;Дом и сад;Столы,стулья,кресла;Компьютерные столы;CREATED;1;0
Компьютеры > Брендовые ПК > All in One PC;Компьютеры;Брендовые ПК;All in One PC;CREATED;257;330
Компьютеры > Брендовые ПК > Desktop PC;Компьютеры;Брендовые ПК;Desktop PC;CREATED;31;330
