GROUP_PATH;GROUP1;GROUP2;GROUP3;ACTION;N_PRODUCTS_THIS_IMPORT;N_PRODUCTS_TOTAL_NOW
Apple;Apple;;;CREATED;2;2
Gaming;Gaming;;;CREATED;40;40
IMPORT PT;IMPORT PT;;;EXISTING;1;18297
PowerBank;PowerBank;;;CREATED;156;156
PROMO;PROMO;;;CREATED;7;7
"Tablets &amp; Phones > Phones";"Tablets &amp; Phones";Phones;;CREATED;37;0
"Tablets &amp; Phones > Tablets";"Tablets &amp; Phones";Tablets;;CREATED;15;0
Авто Товары > Driving recorder;Авто Товары;Driving recorder;;CREATED;32;32
Авто Товары > FM-модуляторы / Bluetooth;Авто Товары;FM-модуляторы / Bluetooth;;CREATED;30;30
Авто Товары > Автомобильное беспроводное зарядное устройство;Авто Товары;Автомобильное беспроводное зарядное устройство;;CREATED;59;59
Авто Товары > Автомобильное зарядное устройство;Авто Товары;Автомобильное зарядное устройство;;CREATED;122;122
Авто Товары > Автомобильные Пылесосы;Авто Товары;Автомобильные Пылесосы;;CREATED;14;14
Авто Товары > Держатели для телефонов;Авто Товары;Держатели для телефонов;;CREATED;212;212
Авто Товары > Насосы;Авто Товары;Насосы;;CREATED;11;11
Авто Товары;Авто Товары;;;CREATED;34;34
Аксессуары для Ноутбуков / Планшета > Mouse Pad;Аксессуары для Ноутбуков / Планшета;Mouse Pad;;CREATED;7;7
Аксессуары для Ноутбуков / Планшета > Stylus / Graphic Pen;Аксессуары для Ноутбуков / Планшета;Stylus / Graphic Pen;;CREATED;7;7
Аксессуары для Ноутбуков / Планшета > Зарядные блоки;Аксессуары для Ноутбуков / Планшета;Зарядные блоки;;CREATED;26;26
Аксессуары для Ноутбуков / Планшета > Клавиатуры;Аксессуары для Ноутбуков / Планшета;Клавиатуры;;CREATED;37;37
Аксессуары для Ноутбуков / Планшета > Мышки;Аксессуары для Ноутбуков / Планшета;Мышки;;CREATED;56;56
Аксессуары для Ноутбуков / Планшета > Подставка для Ноутбука / Планшета;Аксессуары для Ноутбуков / Планшета;Подставка для Ноутбука / Планшета;;CREATED;30;30
Аксессуары для Ноутбуков / Планшета > Сумки / Рюкзаки;Аксессуары для Ноутбуков / Планшета;Сумки / Рюкзаки;;CREATED;130;130
Аксессуары для Ноутбуков / Планшета > Хабы / Адапторы;Аксессуары для Ноутбуков / Планшета;Хабы / Адапторы;;CREATED;82;82
Аксессуары для Ноутбуков / Планшета;Аксессуары для Ноутбуков / Планшета;;;CREATED;10;10
Аудио > Bluetooth-наушники;Аудио;Bluetooth-наушники;;CREATED;298;298
Аудио > Гарнитуры;Аудио;Гарнитуры;;CREATED;8;8
Аудио > Колонки;Аудио;Колонки;;CREATED;283;283
Аудио > Микрофоны;Аудио;Микрофоны;;CREATED;41;41
Аудио > Наушники Jack 3,5mm;Аудио;Наушники Jack 3,5mm;;CREATED;77;77
Аудио > Наушники Lightning;Аудио;Наушники Lightning;;CREATED;5;5
Аудио > Наушники USB-C / Type-C;Аудио;Наушники USB-C / Type-C;;CREATED;30;30
Аудио > Переходники для аудио;Аудио;Переходники для аудио;;CREATED;37;37
Аудио;Аудио;;;CREATED;8;8
Батареи > iPhone;Батареи;iPhone;;CREATED;37;37
Батареи;Батареи;;;CREATED;7;7
Зарядные устройства > Беспроводные Зарядки;Зарядные устройства;Беспроводные Зарядки;;CREATED;85;85
Зарядные устройства > Зарядные блоки;Зарядные устройства;Зарядные блоки;;CREATED;391;391
Зарядные устройства > Зарядные блоки с кабелем Lightning;Зарядные устройства;Зарядные блоки с кабелем Lightning;;CREATED;1;1
Зарядные устройства > Зарядные блоки с кабелем USB-C / Type-C;Зарядные устройства;Зарядные блоки с кабелем USB-C / Type-C;;CREATED;2;2
Зарядные устройства > Зарядные устройства для Умных часов;Зарядные устройства;Зарядные устройства для Умных часов;;CREATED;11;11
Зарядные устройства;Зарядные устройства;;;CREATED;14;14
Защитные стекла > Apple;Защитные стекла;Apple;;CREATED;337;337
Защитные стекла > Oppo;Защитные стекла;Oppo;;CREATED;7;7
Защитные стекла > Redmi/Xiaomi;Защитные стекла;Redmi/Xiaomi;;CREATED;30;30
Защитные стекла > Samsung;Защитные стекла;Samsung;;CREATED;100;100
Кабеля > AUX;Кабеля;AUX;;CREATED;38;38
Кабеля > HDMI;Кабеля;HDMI;;CREATED;25;25
Кабеля > Lightning (iPhone);Кабеля;Lightning (iPhone);;CREATED;153;153
Кабеля > Lightning/Micro/Type-C;Кабеля;Lightning/Micro/Type-C;;CREATED;7;7
Кабеля > Magsafe;Кабеля;Magsafe;;CREATED;4;4
Кабеля > Micro USB;Кабеля;Micro USB;;CREATED;44;44
Кабеля > Network;Кабеля;Network;;CREATED;9;9
Кабеля > ThunderBolt;Кабеля;ThunderBolt;;CREATED;1;1
Кабеля > Type-C to USB;Кабеля;Type-C to USB;;CREATED;58;58
Кабеля > USB B;Кабеля;USB B;;CREATED;2;2
Кабеля > USB male to USB;Кабеля;USB male to USB;;CREATED;1;1
Кабеля > USB-C / Type-C;Кабеля;USB-C / Type-C;;CREATED;154;154
Кабеля;Кабеля;;;CREATED;6;6
Мелкая Бытовая Техника > Видеопроекторы;Мелкая Бытовая Техника;Видеопроекторы;;CREATED;9;9
Мелкая Бытовая Техника > Другие;Мелкая Бытовая Техника;Другие;;CREATED;233;233
Мелкая Бытовая Техника > Освещение;Мелкая Бытовая Техника;Освещение;;CREATED;50;50
Мелкая Бытовая Техника > Приборы для укладки;Мелкая Бытовая Техника;Приборы для укладки;;CREATED;47;47
Мелкая Бытовая Техника > Уличные и домашние камеры;Мелкая Бытовая Техника;Уличные и домашние камеры;;CREATED;36;36
Мелкая Бытовая Техника > Электрические зубные щетки и ирригаторы;Мелкая Бытовая Техника;Электрические зубные щетки и ирригаторы;;CREATED;10;10
Мелкая Бытовая Техника > Электробитва;Мелкая Бытовая Техника;Электробитва;;CREATED;51;51
Мелкая Бытовая Техника;Мелкая Бытовая Техника;;;CREATED;10;10
Накопители Информации > Micro SD;Накопители Информации;Micro SD;;CREATED;14;14
Накопители Информации > SSD;Накопители Информации;SSD;;CREATED;4;4
Накопители Информации > USB Flash Drive;Накопители Информации;USB Flash Drive;;CREATED;29;29
Стенды для телефонов / Селфи-палки;Стенды для телефонов / Селфи-палки;;;CREATED;80;80
Умные часы / Ремешки > Ремешки для часов;Умные часы / Ремешки;Ремешки для часов;;CREATED;242;242
Умные часы / Ремешки > Умные часы;Умные часы / Ремешки;Умные часы;;CREATED;98;98
Чехлы > Apple;Чехлы;Apple;;CREATED;2074;2074
Чехлы > Oppo;Чехлы;Oppo;;CREATED;81;81
Чехлы > Samsung;Чехлы;Samsung;;CREATED;630;630
Чехлы > Xiaomi/Redmi;Чехлы;Xiaomi/Redmi;;CREATED;209;209
Чехлы > Универсальные водозащитные чехолы;Чехлы;Универсальные водозащитные чехолы;;CREATED;3;3
Чехлы;Чехлы;;;CREATED;6;6
