GROUP_PATH;GROUP1;GROUP2;GROUP3;ACTION;N_PRODUCTS_THIS_IMPORT;N_PRODUCTS_TOTAL_NOW
Arta, creativitate si jocuri > Abtibilduri pentru creativitate;Arta, creativitate si jocuri;Abtibilduri pentru creativitate;;EXISTING;318;318
Arta, creativitate si jocuri > Accesorii creativitate;Arta, creativitate si jocuri;Accesorii creativitate;;EXISTING;751;751
Arta, creativitate si jocuri > Baloane;Arta, creativitate si jocuri;Baloane;;EXISTING;57;57
Arta, creativitate si jocuri > Baloane de sapun;Arta, creativitate si jocuri;Baloane de sapun;;EXISTING;18;18
Arta, creativitate si jocuri > Carti pentru copii;Arta, creativitate si jocuri;Carti pentru copii;;EXISTING;38;40
Arta, creativitate si jocuri > Culori pentru fata;Arta, creativitate si jocuri;Culori pentru fata;;EXISTING;27;28
Arta, creativitate si jocuri > Culori pentru pictura;Arta, creativitate si jocuri;Culori pentru pictura;;EXISTING;68;68
Arta, creativitate si jocuri > Culori pentru textil;Arta, creativitate si jocuri;Culori pentru textil;;EXISTING;11;13
Arta, creativitate si jocuri > Cusaturi Broderie;Arta, creativitate si jocuri;Cusaturi Broderie;;EXISTING;7;7
Arta, creativitate si jocuri > Cutii pentru cadouri;Arta, creativitate si jocuri;Cutii pentru cadouri;;EXISTING;1;1
Arta, creativitate si jocuri > Decoratiuni de Craciun;Arta, creativitate si jocuri;Decoratiuni de Craciun;;EXISTING;20;20
Arta, creativitate si jocuri > Felicitari;Arta, creativitate si jocuri;Felicitari;;EXISTING;1;1
Arta, creativitate si jocuri > Fetru si hartie gumata;Arta, creativitate si jocuri;Fetru si hartie gumata;;EXISTING;57;57
Arta, creativitate si jocuri > Folie magnetica;Arta, creativitate si jocuri;Folie magnetica;;EXISTING;4;4
Arta, creativitate si jocuri > Hartie de ambalat cadouri;Arta, creativitate si jocuri;Hartie de ambalat cadouri;;EXISTING;12;12
Arta, creativitate si jocuri > Hirtie creponata si floristica;Arta, creativitate si jocuri;Hirtie creponata si floristica;;EXISTING;68;68
Arta, creativitate si jocuri > Instrumente pentru arta;Arta, creativitate si jocuri;Instrumente pentru arta;;EXISTING;12;12
Arta, creativitate si jocuri > Jocuri de masa;Arta, creativitate si jocuri;Jocuri de masa;;EXISTING;50;50
Arta, creativitate si jocuri > Lipici pentru creativitate;Arta, creativitate si jocuri;Lipici pentru creativitate;;EXISTING;8;8
Arta, creativitate si jocuri > Lumanari;Arta, creativitate si jocuri;Lumanari;;EXISTING;12;12
Arta, creativitate si jocuri > Mozaic cu diamante;Arta, creativitate si jocuri;Mozaic cu diamante;;EXISTING;43;43
Arta, creativitate si jocuri > Perforatoare hobby;Arta, creativitate si jocuri;Perforatoare hobby;;EXISTING;126;126
Arta, creativitate si jocuri > Pinza pictura;Arta, creativitate si jocuri;Pinza pictura;;EXISTING;23;23
Arta, creativitate si jocuri > Pistol de lipit si clei siliconic;Arta, creativitate si jocuri;Pistol de lipit si clei siliconic;;EXISTING;14;14
Arta, creativitate si jocuri > Planse din lemn;Arta, creativitate si jocuri;Planse din lemn;;EXISTING;1;1
Arta, creativitate si jocuri > Planse pentru taiere;Arta, creativitate si jocuri;Planse pentru taiere;;EXISTING;4;4
Arta, creativitate si jocuri > Pudra glitter;Arta, creativitate si jocuri;Pudra glitter;;EXISTING;1;1
Arta, creativitate si jocuri > Puzzle din lemn;Arta, creativitate si jocuri;Puzzle din lemn;;EXISTING;11;11
Arta, creativitate si jocuri > Puzzle Dorinta;Arta, creativitate si jocuri;Puzzle Dorinta;;EXISTING;22;22
Arta, creativitate si jocuri > Puzzle Trefl;Arta, creativitate si jocuri;Puzzle Trefl;;EXISTING;98;98
Arta, creativitate si jocuri > Quilling & origami;Arta, creativitate si jocuri;Quilling & origami;;EXISTING;6;6
Arta, creativitate si jocuri > Seturi creative si educative;Arta, creativitate si jocuri;Seturi creative si educative;;EXISTING;73;73
Arta, creativitate si jocuri > Sevalet;Arta, creativitate si jocuri;Sevalet;;EXISTING;5;5
Arta, creativitate si jocuri > Sketchbook-uri si blocuri pentru pictura;Arta, creativitate si jocuri;Sketchbook-uri si blocuri pentru pictura;;EXISTING;40;40
Arta, creativitate si jocuri > Stampile tusate pentru copii;Arta, creativitate si jocuri;Stampile tusate pentru copii;;EXISTING;13;13
Arta, creativitate si jocuri > Tablouri pe numere;Arta, creativitate si jocuri;Tablouri pe numere;;EXISTING;155;155
Articole din hartie > Agende datate si calendare;Articole din hartie;Agende datate si calendare;;EXISTING;4;4
Articole din hartie > Agende nedatate;Articole din hartie;Agende nedatate;;EXISTING;59;59
Articole din hartie > Caiete;Articole din hartie;Caiete;;EXISTING;26;27
Articole din hartie > Caiete A4 pentru cancelarie;Articole din hartie;Caiete A4 pentru cancelarie;;EXISTING;61;61
Articole din hartie > Carnete;Articole din hartie;Carnete;;EXISTING;66;68
Articole din hartie > Carnete cu alfabet pentru telefoane;Articole din hartie;Carnete cu alfabet pentru telefoane;;EXISTING;1;1
Articole din hartie > Carnete pentru copii;Articole din hartie;Carnete pentru copii;;EXISTING;36;36
Articole din hartie > Diplome;Articole din hartie;Diplome;;EXISTING;44;47
Articole din hartie > Etichete autoadezive;Articole din hartie;Etichete autoadezive;;EXISTING;24;24
Articole din hartie > Etichete in rulou;Articole din hartie;Etichete in rulou;;EXISTING;2;2
Articole din hartie > Etichete pret si suporturi;Articole din hartie;Etichete pret si suporturi;;EXISTING;13;14
Articole din hartie > Hartie calc;Articole din hartie;Hartie calc;;EXISTING;2;2
Articole din hartie > Hartie milimetrica, sabloane;Articole din hartie;Hartie milimetrica, sabloane;;EXISTING;1;1
Articole din hartie > Hartie vatman si tuburi;Articole din hartie;Hartie vatman si tuburi;;EXISTING;5;5
